date,employee_title,location,employee_status,review_title,years_at_company,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Apr 23 2019 22:51:54 GMT+0530 (India Standard Time), S S E(Senior Software Engineer),Bangalore,Current Employee ,Good company to join as a fresher,,4,4,3,3,4,2
Tue Apr 23 2019 22:58:42 GMT+0530 (India Standard Time), Software Development Analyst,Bangalore,Current Employee ,good place to work,,4,4,4,4,4,5
Wed Apr 24 2019 04:21:42 GMT+0530 (India Standard Time), Functional Analyst,Bangalore,Current Employee ,Great work life balance,,4,5,5,4,4,4
Wed Apr 24 2019 06:36:18 GMT+0530 (India Standard Time), Software Engineer,Bangalore,Former Employee ,Great company but managers made it worse,,4,4,2,3,3,2
Wed Apr 24 2019 08:16:24 GMT+0530 (India Standard Time), Associate Software Engineer,Chennai,Current Employee ,Work environment is good as compared to other services based company,,4,4,4,5,4,1
Wed Apr 24 2019 08:59:45 GMT+0530 (India Standard Time), Associate Manager,"Gurgaon, Haryana",Former Employee ,Great company to be in,,4,5,5,5,3,3
Wed Apr 24 2019 08:59:54 GMT+0530 (India Standard Time), Applications Developer,Pune,Current Employee ,Application Development Analyst,,4,4,5,4,4,3
Tue May 07 2019 19:52:03 GMT+0530 (India Standard Time), Software Development Analyst,Bangalore,Current Employee ,Software Development Analyst,,3,5,3,3,3,2
Wed May 08 2019 01:30:38 GMT+0530 (India Standard Time),,Bangalore,Former Employee ,Great work culture but horrible pay structure,,3,,,,,
Wed May 08 2019 04:47:59 GMT+0530 (India Standard Time), Associate Software Engineer,Bangalore,Current Employee ,All of it depends on the project and the colleagues,,3,2,5,3,3,4
Wed May 08 2019 06:51:57 GMT+0530 (India Standard Time), Senior Software Engineer,Bangalore,Current Employee ,Nice but still a lot of areas to grow upon,,3,3,3,4,3,2
Mon Apr 22 2019 21:47:18 GMT+0530 (India Standard Time), Security Analyst,Bangalore,Current Employee ,Work experience,,5,5,4,5,5,4
Tue Apr 23 2019 04:56:03 GMT+0530 (India Standard Time), Applications Development Senior Analyst,Bangalore Rural,Former Employee ,Working at Accenture,,5,5,5,5,5,5
Mon Apr 22 2019 20:06:56 GMT+0530 (India Standard Time), Associate Software Developer,Bangalore,Current Employee ,Accenture India,,4,4,5,5,4,4
Tue Apr 23 2019 00:11:37 GMT+0530 (India Standard Time), Software Engineer,Bangalore,Former Employee ,Software Engineering Analyst,,4,4,4,4,3,3
Tue Apr 23 2019 02:43:23 GMT+0530 (India Standard Time), Software Engineer,Chennai,Current Employee ,Good company to Settle in. Bad for freshers.,,4,5,5,2,2,5
Tue Apr 23 2019 03:12:10 GMT+0530 (India Standard Time), Senior Software Engineer,Bangalore,Current Employee ,Good Place to Work,,4,2,4,5,5,2
Tue Apr 23 2019 06:13:23 GMT+0530 (India Standard Time),,Noida,Former Employee ,Team lead,,4,4,4,4,4,4
Tue Apr 23 2019 10:14:09 GMT+0530 (India Standard Time), Processing Associate,Bangalore,Current Employee ,About yourself,,4,3,3,3,3,3
Mon May 06 2019 12:18:50 GMT+0530 (India Standard Time), Operations Analyst,Bangalore,Current Employee ,No Pros,,3,1,2,3,1,1
Mon May 06 2019 19:23:45 GMT+0530 (India Standard Time), Team Leader,Chennai,Current Employee ,Team lead,,3,2,3,3,3,2
Mon May 06 2019 23:26:52 GMT+0530 (India Standard Time), Applications Development Senior Analyst,Hyderābād,Current Employee ,Good Company to work with,,3,3,5,3,3,2
Tue May 07 2019 05:21:33 GMT+0530 (India Standard Time),,Pune,Current Employee ,Good Organization,,3,1,,,,
Fri Apr 19 2019 19:09:43 GMT+0530 (India Standard Time), Associate Software Engineer,Calcutta,Current Employee ,It all depend upon project.,,4,5,5,4,5,2
Mon Apr 22 2019 00:13:32 GMT+0530 (India Standard Time), Applications Development Analyst,Chennai,Current Employee ,Application Development Analyst,,5,5,5,5,3,5
Mon May 27 2019 03:08:28 GMT+0530 (India Standard Time), Human Resources Operations,Mumbai,Current Employee ,Hr operations,,1,1,1,1,1,1
Mon Apr 22 2019 02:48:10 GMT+0530 (India Standard Time), S S E(Senior Software Engineer),Chennai,Current Employee ,Accenture,,4,3,3,4,3,3
Mon Apr 22 2019 04:49:59 GMT+0530 (India Standard Time), Test Engineer,Pune,Current Employee ,lot of learning opportunities,,4,3,5,3,3,2
Mon Apr 22 2019 09:23:34 GMT+0530 (India Standard Time), Applications Developer,Pune,Current Employee ,good to work,,4,1,5,4,4,1
Sun May 05 2019 23:43:09 GMT+0530 (India Standard Time), ASE,Bangalore,Current Employee ,Good Place for beginners,,3,4,5,3,3,2
Mon May 06 2019 00:16:24 GMT+0530 (India Standard Time), Assistant Manager,Chennai,Current Employee ,Assistant manager,,3,3,3,3,3,3
Mon May 06 2019 04:54:54 GMT+0530 (India Standard Time), Transaction Processing Associate,Chennai,Current Employee ,Transaction Processing Associate,,3,4,4,2,2,1
Mon May 06 2019 09:25:10 GMT+0530 (India Standard Time), Team Leader,Chennai,Current Employee ,No work life balance,,3,1,4,3,3,4
Fri Apr 19 2019 07:42:25 GMT+0530 (India Standard Time),,Bangalore,Current Employee ,Customer service associate,,4,2,3,3,2,2
Sat Apr 20 2019 22:20:14 GMT+0530 (India Standard Time), Associate Manager,Hyderābād,Current Employee ,Good service based IT company to work for,,5,5,5,5,5,5
Sun Apr 21 2019 00:32:23 GMT+0530 (India Standard Time), Applications Developer Associate,Mumbai,Current Employee ,Amazing Company,,5,5,5,5,5,5
Sun Apr 21 2019 00:58:29 GMT+0530 (India Standard Time), Analyst,Bangalore,Current Employee ,Good to work,,5,5,5,5,5,5
Mon May 27 2019 01:42:05 GMT+0530 (India Standard Time), Adwords Associate,"Gurgaon, Haryana",Current Employee ,Non-adwords work here,,1,2,2,1,2,1
Sat Apr 20 2019 22:18:07 GMT+0530 (India Standard Time), Associate Software Engineer,Bangalore,Current Employee ,good with Accenture,,4,4,5,4,3,4
Sat Apr 20 2019 22:58:56 GMT+0530 (India Standard Time), Applications Development Programmer Analyst,Pune,Current Employee ,Accenture Salary,,4,,,,,
Sun Apr 21 2019 00:10:56 GMT+0530 (India Standard Time), Associate Software Engineer,Pune,Current Employee ,ASE Review,,4,4,3,4,4,2
Sun Apr 21 2019 02:04:31 GMT+0530 (India Standard Time),,"Gurgaon, Haryana",Former Employee ,A good company to work with,,4,4,4,4,4,4
Sun May 05 2019 05:19:28 GMT+0530 (India Standard Time), Software Engineer,Pune,Former Employee ,Good company for freshers. GFT training for freshers is good.,,3,4,5,3,3,3
Sat Apr 20 2019 08:36:54 GMT+0530 (India Standard Time), Senior Analyst,Bangalore,Current Employee ,Accenture,,4,3,4,3,2,2
Fri Apr 19 2019 08:38:19 GMT+0530 (India Standard Time), Applications Development Associate,Mumbai,Current Employee ,Good working environment and opportunities to grow,,5,5,5,4,5,4
Sat May 04 2019 10:02:43 GMT+0530 (India Standard Time), Cloud Operations Engineering Analyst,Bangalore,Current Employee ,Ok,,2,3,2,3,2,2
Thu Apr 18 2019 10:38:50 GMT+0530 (India Standard Time), ADA ,"Gurgaon, Haryana",Current Employee ,Stable | Good Workspace | Nice culture,,4,5,4,5,3,3
Thu Apr 18 2019 11:01:55 GMT+0530 (India Standard Time),,Hyderābād,Former Employee ,Work culture,,4,5,4,3,3,3
Thu Apr 18 2019 11:11:06 GMT+0530 (India Standard Time), Applications Developer,Pune,Current Employee ,A Good Company to work with,,4,4,4,4,4,4
Fri Apr 19 2019 03:05:41 GMT+0530 (India Standard Time), Data Migration Consultant,Bangalore,Current Employee ,data migration consultant,,4,4,5,4,4,4
Fri Apr 19 2019 05:13:31 GMT+0530 (India Standard Time), General Ops Analyst,Noida,Current Employee ,2 years with accenture,,4,3,3,3,3,3
Fri Apr 19 2019 05:22:42 GMT+0530 (India Standard Time), S S E(Senior Software Engineer),Hyderābād,Current Employee ,Get into new technologies easily,,4,4,5,5,4,4
Fri Apr 19 2019 05:13:31 GMT+0530 (India Standard Time), General Ops Analyst,Noida,Current Employee ,2 years with accenture,,4,3,3,3,3,3
Fri Apr 19 2019 05:22:42 GMT+0530 (India Standard Time), S S E(Senior Software Engineer),Hyderābād,Current Employee ,Get into new technologies easily,,4,4,5,5,4,4
Fri Apr 19 2019 07:29:42 GMT+0530 (India Standard Time), Software Engineering Senior Analyst,Vikhroli,Current Employee ,It is good company but not for good hardworking employees,,4,3,2,4,1,1
Thu May 02 2019 11:41:56 GMT+0530 (India Standard Time), Associate,Airoli,Former Employee ,Good for a beginner to gain experience,,3,3,5,4,3,4
Fri May 03 2019 04:26:29 GMT+0530 (India Standard Time), Mobilization Specialist,Mumbai,Current Employee ,Accenture,,3,1,2,5,5,2
Wed Apr 17 2019 11:26:50 GMT+0530 (India Standard Time),,Bangalore,Current Employee ,Accenture,,5,5,5,5,4,4
