date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wed May 30 2018 21:14:18 GMT+0530 (India Standard Time), Senior Presentation Specialist,Thiruvananthapuram,Former Employee ,Best place to work,,0,,,,4.0,5.0,5.0,2.0,5.0,4.0
Wed May 23 2018 09:53:35 GMT+0530 (India Standard Time), Office Services Coordinator,Bangalore,Former Employee ,my experience,,0,,,,4.0,3.0,5.0,5.0,5.0,5.0
Fri Apr 27 2018 02:25:29 GMT+0530 (India Standard Time),,New Delhi,Former Employee ,Service Delivery Leader,,0,,,,5.0,4.0,5.0,4.0,5.0,4.0
Thu May 10 2018 10:33:25 GMT+0530 (India Standard Time), Business Presentation Specialist,Chennai,Current Employee ,Good for OT's,,0,,,,4.0,1.0,5.0,5.0,5.0,4.0
Fri May 04 2018 02:40:12 GMT+0530 (India Standard Time),,,Current Employee ,Analyst at McKinsey,,0,,,,4.0,4.0,4.0,3.0,5.0,3.0
Sat Apr 14 2018 01:14:12 GMT+0530 (India Standard Time),,,Current Employee ,It's been a great experience to be associated with the world's best Management Consulting firm,,0,,,,5.0,3.0,5.0,5.0,3.0,5.0
Wed Apr 11 2018 18:44:43 GMT+0530 (India Standard Time),,"Gurgaon, Haryana",Current Employee ,Great company to work with!,,0,,,,5.0,2.0,5.0,4.0,5.0,4.0
Tue Mar 20 2018 00:53:59 GMT+0530 (India Standard Time),,,Current Employee ,Good place,,0,,,,5.0,,,,,
Sun Mar 25 2018 05:05:55 GMT+0530 (India Standard Time), Consultant,"Gurgaon, Haryana",Former Employee ,Working as a Team Leader,,0,,,,4.0,,,,,
Mon Mar 05 2018 04:17:08 GMT+0530 (India Standard Time),,,Current Employee ,Great place to work!,,0,,,,5.0,,,,,
Fri Mar 16 2018 08:40:19 GMT+0530 (India Standard Time), Consultant,Mumbai,Former Employee ,Steep learning curve,,0,,,,4.0,3.0,4.0,5.0,4.0,4.0
Tue Feb 27 2018 23:58:31 GMT+0530 (India Standard Time), Optimising Associate,Chennai,Current Employee ,Optimizing Associate,,0,,,,5.0,3.0,5.0,3.0,5.0,5.0
Mon Mar 12 2018 09:48:59 GMT+0530 (India Standard Time), Operations Team Leader,Chennai,Current Employee ,Supervisor,,0,,,,4.0,3.0,3.0,4.0,5.0,4.0
Mon Feb 26 2018 08:51:35 GMT+0530 (India Standard Time), Associate,Mumbai,Former Employee ,10% content 90% posturing,,0,,,,2.0,1.0,1.0,5.0,4.0,2.0
Sun Feb 18 2018 00:03:24 GMT+0530 (India Standard Time),,,Current Employee ,Na,,0,,,,5.0,2.0,5.0,5.0,5.0,4.0
Sat Feb 17 2018 02:49:38 GMT+0530 (India Standard Time),,,Former Employee ,best company,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Feb 20 2018 05:36:50 GMT+0530 (India Standard Time),,,Current Employee ,AP,,0,,,,2.0,1.0,3.0,2.0,1.0,1.0
Sat Feb 03 2018 08:06:12 GMT+0530 (India Standard Time),,,Current Employee ,Junior Associate,,0,,,,5.0,2.0,5.0,5.0,4.0,5.0
Sat Jan 27 2018 22:38:10 GMT+0530 (India Standard Time), Data Analyst,"Gurgaon, Haryana",Former Employee ,McKc- Lot to learn and good work life balance,,0,,,,5.0,5.0,5.0,4.0,5.0,4.0
Tue Jan 23 2018 13:38:35 GMT+0530 (India Standard Time), Front Office Executive,"Gurgaon, Haryana",Former Employee ,front office executive,,0,,,,5.0,4.0,4.0,5.0,4.0,3.0
Tue Jan 16 2018 02:55:25 GMT+0530 (India Standard Time), Analyst,Noida,Former Employee ,Great exposure,,0,,,,5.0,5.0,5.0,3.0,5.0,3.0
Mon Jan 29 2018 21:42:20 GMT+0530 (India Standard Time),,,Former Employee ,Senior Purchasing Associate,,0,,,,4.0,4.0,4.0,4.0,3.0,4.0
Sat Jan 13 2018 00:14:32 GMT+0530 (India Standard Time), Assistant Process Associate,Chennai,Current Employee ,Best place to work,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Thu Jan 04 2018 03:46:54 GMT+0530 (India Standard Time),,,Current Employee ,Associate,,0,,,,5.0,3.0,5.0,5.0,5.0,5.0
Fri Jan 12 2018 22:05:33 GMT+0530 (India Standard Time),,Mumbai,Former Employee ,Great finishing,,0,,,,4.0,2.0,5.0,5.0,4.0,3.0
Sat Jan 06 2018 11:14:38 GMT+0530 (India Standard Time),,,Former Employee ,Business Analyst,,0,,,,3.0,,,,,
Mon Dec 11 2017 22:31:44 GMT+0530 (India Standard Time),,,Former Employee ,Great,,0,,,,5.0,3.0,5.0,5.0,5.0,5.0
Wed Dec 20 2017 18:58:22 GMT+0530 (India Standard Time), Software Engineer,"Gurgaon, Haryana",Current Employee ,Nice Company to work with,,0,,,,4.0,3.0,3.0,4.0,3.0,4.0
Thu Nov 30 2017 23:06:17 GMT+0530 (India Standard Time),,,Former Employee ,Great place to work,,0,,,,5.0,2.0,5.0,5.0,5.0,4.0
Sun Dec 10 2017 20:39:27 GMT+0530 (India Standard Time),,,Former Employee ,Good Experience,,0,,,,4.0,3.0,3.0,4.0,4.0,2.0
Thu Dec 07 2017 08:38:24 GMT+0530 (India Standard Time),,,Former Employee ,Great place to work,,0,,,,4.0,2.0,4.0,3.0,4.0,3.0
Mon Dec 25 2017 22:48:30 GMT+0530 (India Standard Time), Junior Associate,,Former Employee ,Good,,0,,,,1.0,,,,,
